,Length,Width,Views last 7 days,EUR_Price,clusters,cluster
28,-1.2868419287295938,-1.5947076014526589,-0.3381518824617662,-0.3108414950421907,0,light pink
29,-1.2268108341730053,-1.4956857150228506,1.5638665510816971,-0.3108414950421907,0,light pink
30,-1.30685229358179,-1.7019813117516183,-0.621842767464859,-0.3137804550497051,0,light pink
31,-1.0867382802076326,-1.1161018170419184,0.22922988754441945,-0.308763022618206,0,light pink
32,-1.2201407125556067,-1.4626784195462479,-0.2092014801876331,-0.308763022618206,0,light pink
33,-1.0367123680771422,-1.2316273512100282,-0.49289236519072593,-0.308763022618206,0,light pink
34,-0.9783488039249036,-1.0913463454344665,2.5309945681376953,-0.30834732813340904,3,dark purple
35,-1.2368160165991036,-1.4874338911537,-0.6025002071237391,-0.3088149844288056,0,light pink
36,-1.2851743983252442,-1.5782039537143577,-0.5380250059866725,-0.3088679854756172,0,light pink
37,-1.2618289726643486,-1.5534484821069054,1.5380764706268704,-0.3085551753758075,0,light pink
38,-1.20346540851211,-1.3636565331164396,0.17764972663476622,-0.3090228316712041,0,light pink
39,-1.2534913206426002,-1.4049156524621929,-0.06090851757238002,-0.30907479348180367,0,light pink
40,-1.2785042767078454,-1.6277148969292616,0.8224017380054317,-0.308763022618206,0,light pink
41,-1.2868419287295938,-1.569952129845207,-0.33170436234805956,-0.308763022618206,0,light pink
42,-1.2951795807513422,-1.6524703685367137,6.773462802956674,-0.306996321057819,3,dark purple
43,-1.120088888294626,-1.2811382944249325,0.34528524959113926,-0.2563501835025833,0,light pink
44,-1.0367123680771422,-1.3636565331164396,0.8159542178917251,-0.3076302551471343,0,light pink
45,-0.9066449965378675,-1.0583390499578638,-0.4219696439399527,-0.3077237864062136,0,light pink
46,-1.0033617599901488,-1.1161018170419184,-0.18341139973280646,-0.3077237864062136,0,light pink
47,-1.120088888294626,-1.157360936387672,0.2098873272032995,-0.3077237864062136,0,light pink
48,-0.619829766989723,-1.1986200557334254,0.893324459256205,-0.3077237864062136,0,light pink
49,-1.20346540851211,-1.1986200557334254,1.118987663235938,-0.3077237864062136,0,light pink
50,-0.84161131076823,-1.2481309989483296,0.21633484731700614,-0.3077237864062136,0,light pink
51,-1.161777148403368,-1.3966638285930422,-0.15762131927797984,-0.30773417876833353,0,light pink
52,-1.420244361077568,-1.6937294878824674,0.5645009334571656,-0.30720416830021746,0,light pink
53,-0.7432270169115991,-0.5384741462013698,4.613543564864945,-0.30720416830021746,3,dark purple
54,-1.2618289726643486,-1.569952129845207,2.730867691662602,-0.30720416830021746,3,dark purple
55,-1.0867382802076326,-1.2316273512100282,-0.20275396007392643,-0.30637277933062357,0,light pink
56,-1.2401510774078028,-1.569952129845207,0.3517327697048459,-0.30585316122462736,0,light pink
57,-0.5814765676896804,-0.7447697429301373,0.022909243905806495,-0.3135331168312509,0,light pink
58,-1.20346540851211,-1.1986200557334254,0.31949516913631265,-0.3065390571245423,0,light pink
59,-1.2118030605338583,-1.4049156524621929,2.0087454389274564,-0.30600385047536627,3,dark purple
60,-1.20346540851211,-1.5286930104994534,0.3259426892500193,-0.30668455019422125,0,light pink
61,-0.5364532467722392,-1.1161018170419184,0.7321364564135385,-0.30668455019422125,0,light pink
62,-0.9866864559466519,-1.1161018170419184,1.1963579046004178,-0.30668455019422125,0,light pink
63,-1.0033617599901488,-1.1161018170419184,-0.08669859802720664,-0.30668455019422125,0,light pink
64,-1.0367123680771422,-0.909806220313151,0.3710753300459659,-0.30668455019422125,0,light pink
65,-0.8866346316856712,-0.8355398054907949,0.24857244788553942,-0.30668455019422125,0,light pink
66,-1.0817356889945835,-1.157360936387672,-0.12538371870944656,-0.30668455019422125,0,light pink
67,-0.9866864559466519,-1.050087226088713,2.1892760021112427,-0.30668455019422125,3,dark purple
68,-1.2201407125556067,-0.4559559075098628,-0.0351184371175534,-0.30668455019422125,0,light pink
69,-1.2201407125556067,-1.569952129845207,-0.3510469226891795,-0.3053439354807511,0,light pink
70,-0.9783488039249036,-1.0335835783504117,0.835296778232845,-0.3047100013914358,0,light pink
71,-1.120088888294626,-1.1986200557334254,-0.028670917003846746,-0.3055413903610297,0,light pink
